epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,64.4501,0.46452,0.38173,1.25622,0.9937,0.99701,0.99497,0.88571,0.48097,0.36657,1.59222,0.0015842,0.0015842,0.0015842
44,65.7794,0.49457,0.39459,1.28298,0.99525,1,0.995,0.89028,0.48059,0.35123,1.47282,0.0015743,0.0015743,0.0015743
45,67.1996,0.49041,0.39606,1.26804,0.99525,1,0.995,0.89028,0.48059,0.35123,1.47282,0.0015644,0.0015644,0.0015644
46,68.6368,0.50023,0.40098,1.23567,0.99943,1,0.995,0.89065,0.49275,0.35389,1.59169,0.0015545,0.0015545,0.0015545
47,70.0829,0.48131,0.38986,1.20442,0.99969,1,0.995,0.878,0.53339,0.34989,1.86517,0.0015446,0.0015446,0.0015446
48,71.3951,0.51326,0.39155,1.27297,0.99969,1,0.995,0.878,0.53339,0.34989,1.86517,0.0015347,0.0015347,0.0015347
49,72.69,0.508,0.4116,1.35453,0.99679,1,0.995,0.8867,0.49348,0.34183,1.70131,0.0015248,0.0015248,0.0015248
50,73.9802,0.45893,0.36647,1.2572,0.99679,1,0.995,0.8867,0.49348,0.34183,1.70131,0.0015149,0.0015149,0.0015149
51,75.2807,0.48171,0.38759,1.25644,0.99672,1,0.99431,0.87848,0.50077,0.34768,1.37769,0.001505,0.001505,0.001505
52,76.5816,0.48649,0.38715,1.33166,0.99645,1,0.99437,0.87086,0.52587,0.36292,1.29153,0.0014951,0.0014951,0.0014951
53,77.8883,0.49144,0.38728,1.20452,0.99645,1,0.99437,0.87086,0.52587,0.36292,1.29153,0.0014852,0.0014852,0.0014852
54,79.2868,0.48403,0.38528,1.26081,0.99643,1,0.99479,0.88073,0.49799,0.34276,1.31704,0.0014753,0.0014753,0.0014753
55,80.5866,0.48225,0.39076,1.24979,0.99824,1,0.995,0.89137,0.48098,0.34172,1.38735,0.0014654,0.0014654,0.0014654
56,82.0267,0.44374,0.3587,1.28527,0.99824,1,0.995,0.89137,0.48098,0.34172,1.38735,0.0014555,0.0014555,0.0014555
57,83.4981,0.448,0.35905,1.23139,0.99977,1,0.995,0.89331,0.47952,0.33203,1.30552,0.0014456,0.0014456,0.0014456
58,84.9176,0.45228,0.3503,1.19032,0.99977,1,0.995,0.89331,0.47952,0.33203,1.30552,0.0014357,0.0014357,0.0014357
59,86.3691,0.46824,0.35636,1.21439,0.99701,0.99994,0.995,0.89074,0.50436,0.33281,1.29659,0.0014258,0.0014258,0.0014258
