epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.51037,1.78863,3.20863,2.69262,0.04633,0.83234,0.19815,0.1212,1.30944,2.95409,2.45425,8e-05,8e-05,8e-05
2,5.64823,1.72413,3.18813,2.75637,0.95134,0.29271,0.67352,0.38027,1.22614,2.44055,2.31722,0.000179109,0.000179109,0.000179109
3,9.74632,0.94588,2.27169,2.02075,0.87736,0.87822,0.92784,0.7053,0.75814,1.10746,1.86497,0.000277228,0.000277228,0.000277228
4,13.6949,0.75218,1.24965,1.78229,0.96718,0.97068,0.9897,0.82191,0.6305,1.18067,1.74961,0.000374357,0.000374357,0.000374357
5,17.5112,0.66897,0.79432,1.76337,0.98645,0.97605,0.99295,0.83985,0.58068,0.71934,2.2958,0.000470496,0.000470496,0.000470496
6,21.1764,0.62335,0.69584,1.95747,0.9869,0.97006,0.99169,0.8488,0.59674,0.63294,1.85093,0.000565645,0.000565645,0.000565645
7,24.8081,0.78559,0.7256,1.82464,0.96453,0.97697,0.99346,0.82018,0.7075,0.94271,1.80976,0.000659804,0.000659804,0.000659804
8,28.0825,0.69565,0.67731,1.88851,0.96583,0.97904,0.99351,0.85983,0.59629,0.78861,1.81517,0.000752973,0.000752973,0.000752973
9,31.8886,0.65478,0.64934,1.82641,0.96654,0.97305,0.99253,0.85332,0.63068,0.68725,2.1028,0.000845152,0.000845152,0.000845152
10,35.1837,0.58632,0.59295,1.6559,0.96509,0.98802,0.9942,0.83392,0.64711,0.9319,1.88144,0.000936341,0.000936341,0.000936341
11,38.4662,0.67327,0.61763,1.71861,0.98674,0.98503,0.99464,0.84014,0.68184,0.76856,1.71892,0.00102654,0.00102654,0.00102654
12,41.6877,0.67238,0.52275,1.57634,0.99095,0.98397,0.99393,0.84501,0.62792,0.57782,2.03467,0.00111575,0.00111575,0.00111575
13,44.9566,0.62345,0.52692,1.79648,0.99058,0.97605,0.99436,0.8096,0.66893,0.75918,1.76848,0.00120397,0.00120397,0.00120397
14,48.1863,0.72176,0.56433,1.75947,0.99058,0.97605,0.99436,0.8096,0.66893,0.75918,1.76848,0.0012912,0.0012912,0.0012912
15,51.3846,0.67428,0.52275,1.71742,0.9876,0.98204,0.99409,0.83634,0.65324,0.67441,1.72099,0.00137744,0.00137744,0.00137744
16,54.6007,0.73376,0.51126,1.6207,0.97627,0.98554,0.99423,0.815,0.71411,0.72417,1.94271,0.00146269,0.00146269,0.00146269
17,57.8178,0.76092,0.53025,1.64854,0.97443,0.98503,0.99208,0.84653,0.71865,0.67951,1.78213,0.00154694,0.00154694,0.00154694
18,61.0424,0.6955,0.51587,1.64738,0.97443,0.98503,0.99208,0.84653,0.71865,0.67951,1.78213,0.00163021,0.00163021,0.00163021
19,64.2531,0.59433,0.47817,1.71254,0.99101,0.99043,0.99473,0.86622,0.5959,0.45722,1.90466,0.00171249,0.00171249,0.00171249
20,67.8712,0.59971,0.4789,1.69838,0.9898,0.96407,0.99297,0.85844,0.67699,0.54387,1.87869,0.00179378,0.00179378,0.00179378
21,71.0895,0.66153,0.50907,1.72027,0.9898,0.96407,0.99297,0.85844,0.67699,0.54387,1.87869,0.001802,0.001802,0.001802
22,74.2972,0.63448,0.50717,1.66352,0.99688,0.95789,0.98488,0.83618,0.63565,0.52705,1.86532,0.0017921,0.0017921,0.0017921
23,77.5155,0.62538,0.4881,1.6927,0.99395,0.98435,0.99462,0.85006,0.62956,0.44315,1.81092,0.0017822,0.0017822,0.0017822
24,80.7465,0.63516,0.4562,1.65754,0.99395,0.98435,0.99462,0.85006,0.62956,0.44315,1.81092,0.0017723,0.0017723,0.0017723
25,83.9525,0.60943,0.45412,1.63575,0.99101,0.99048,0.99485,0.87865,0.53623,0.41892,1.71334,0.0017624,0.0017624,0.0017624
26,87.5294,0.55647,0.44278,1.55933,0.99101,0.99048,0.99485,0.87865,0.53623,0.41892,1.71334,0.0017525,0.0017525,0.0017525
27,91.1342,0.58888,0.4522,1.56773,1,0.98436,0.99462,0.87875,0.54645,0.41004,1.89115,0.0017426,0.0017426,0.0017426
28,94.7285,0.61168,0.45192,1.61134,0.99892,0.98204,0.9944,0.86994,0.56998,0.43162,1.68899,0.0017327,0.0017327,0.0017327
29,97.9287,0.57368,0.42245,1.54579,0.99892,0.98204,0.9944,0.86994,0.56998,0.43162,1.68899,0.0017228,0.0017228,0.0017228
30,101.184,0.56165,0.40588,1.56709,0.99484,0.98503,0.99479,0.88315,0.52127,0.39634,1.93453,0.0017129,0.0017129,0.0017129
31,104.787,0.5373,0.39508,1.60452,0.99698,0.98729,0.99497,0.86859,0.61681,0.41627,1.666,0.001703,0.001703,0.001703
32,108.003,0.61687,0.41997,1.49006,0.99698,0.98729,0.99497,0.86859,0.61681,0.41627,1.666,0.0016931,0.0016931,0.0016931
33,111.213,0.59867,0.40823,1.53898,0.98032,0.99401,0.99476,0.88911,0.54446,0.4134,1.64732,0.0016832,0.0016832,0.0016832
34,114.77,0.54016,0.40523,1.47594,0.98032,0.99401,0.99476,0.88911,0.54446,0.4134,1.64732,0.0016733,0.0016733,0.0016733
35,118.365,0.54787,0.40605,1.49939,0.98806,0.99127,0.9947,0.88141,0.54076,0.39334,1.78989,0.0016634,0.0016634,0.0016634
36,121.599,0.53141,0.39644,1.5218,0.99539,0.97904,0.99349,0.88353,0.48034,0.38625,1.83314,0.0016535,0.0016535,0.0016535
37,124.815,0.50245,0.38019,1.57024,0.99539,0.97904,0.99349,0.88353,0.48034,0.38625,1.83314,0.0016436,0.0016436,0.0016436
38,128.043,0.49225,0.36458,1.5294,0.9986,0.97605,0.99163,0.87516,0.5205,0.3767,1.89703,0.0016337,0.0016337,0.0016337
39,131.271,0.49591,0.35846,1.50699,0.99469,0.98204,0.99264,0.88451,0.50519,0.36371,2.51478,0.0016238,0.0016238,0.0016238
40,134.497,0.46231,0.34016,1.69722,0.99469,0.98204,0.99264,0.88451,0.50519,0.36371,2.51478,0.0016139,0.0016139,0.0016139
