epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.52816,1.77877,3.20497,2.62877,0.04467,0.8024,0.16428,0.09713,1.3749,3.04865,2.44015,8e-05,8e-05,8e-05
2,5.55207,1.74521,3.15657,2.72384,0.04517,0.81138,0.18039,0.1096,1.40967,3.02567,2.43773,0.000179109,0.000179109,0.000179109
3,8.87009,1.3538,2.85223,2.36165,0.89149,0.75749,0.90162,0.66805,0.88539,1.62105,1.84157,0.000277228,0.000277228,0.000277228
4,12.9038,0.83148,1.58225,1.9709,0.95266,0.9521,0.98515,0.7937,0.68999,1.19712,1.67983,0.000374357,0.000374357,0.000374357
5,16.7178,0.70422,0.89419,1.88992,0.97242,0.98204,0.99252,0.80957,0.72106,1.0254,1.71645,0.000470496,0.000470496,0.000470496
6,20.4169,0.65496,0.69468,1.82828,0.95399,0.98503,0.9921,0.84759,0.63517,0.76434,1.66301,0.000565645,0.000565645,0.000565645
7,24.0672,0.73235,0.68751,1.79496,0.95332,0.97605,0.99342,0.85259,0.6173,0.72758,1.59271,0.000659804,0.000659804,0.000659804
8,27.6927,0.68438,0.67047,1.88231,0.97888,0.97133,0.99386,0.86339,0.62751,0.69858,1.74359,0.000752973,0.000752973,0.000752973
9,31.3157,0.65501,0.61807,1.83323,0.97178,0.99102,0.99446,0.86477,0.60526,0.6389,1.59535,0.000845152,0.000845152,0.000845152
10,34.9795,0.62352,0.5769,1.82187,0.97882,0.96841,0.99209,0.83957,0.65247,0.67654,1.89036,0.000936341,0.000936341,0.000936341
11,38.2392,0.66331,0.57314,1.70284,0.99537,0.97904,0.99393,0.83555,0.65099,0.68634,1.7564,0.00102654,0.00102654,0.00102654
12,41.5047,0.66407,0.58378,1.68055,0.97343,0.98715,0.99396,0.85037,0.5953,0.70691,1.75209,0.00111575,0.00111575,0.00111575
13,44.7519,0.58245,0.51728,1.83458,0.95117,0.97305,0.9884,0.82127,0.69046,0.91738,1.54522,0.00120397,0.00120397,0.00120397
14,47.9996,0.66281,0.51169,1.73574,0.95117,0.97305,0.9884,0.82127,0.69046,0.91738,1.54522,0.0012912,0.0012912,0.0012912
15,51.2208,0.69631,0.51398,1.70935,0.9851,0.98973,0.99479,0.83491,0.70204,0.61855,1.71689,0.00137744,0.00137744,0.00137744
16,54.43,0.64804,0.49469,1.70912,0.98512,0.99401,0.99485,0.82645,0.6265,0.54012,1.66619,0.00146269,0.00146269,0.00146269
17,57.6452,0.65203,0.50952,1.81528,0.98317,0.99401,0.99464,0.82117,0.70718,0.53883,1.66798,0.00154694,0.00154694,0.00154694
18,60.8521,0.76619,0.53667,2.11054,0.98317,0.99401,0.99464,0.82117,0.70718,0.53883,1.66798,0.00163021,0.00163021,0.00163021
19,64.0795,0.66215,0.51711,1.76946,0.99393,0.98002,0.99369,0.83123,0.7146,0.57901,1.63531,0.00171249,0.00171249,0.00171249
20,67.2949,0.66676,0.50826,1.79044,0.98184,0.97142,0.99129,0.81284,0.7142,0.57015,1.62998,0.00179378,0.00179378,0.00179378
21,70.5085,0.80233,0.54403,1.89939,0.98184,0.97142,0.99129,0.81284,0.7142,0.57015,1.62998,0.001802,0.001802,0.001802
22,73.7439,0.70217,0.52703,1.8038,0.98788,0.97641,0.99348,0.84327,0.66447,0.58846,1.57542,0.0017921,0.0017921,0.0017921
23,76.9891,0.65114,0.5044,1.78521,0.98839,0.97305,0.98978,0.81131,0.76037,0.62,1.66946,0.0017822,0.0017822,0.0017822
24,80.2151,0.738,0.53233,1.7868,0.98839,0.97305,0.98978,0.81131,0.76037,0.62,1.66946,0.0017723,0.0017723,0.0017723
25,83.4155,0.67719,0.52253,1.83598,0.97792,0.93713,0.98013,0.82474,0.66116,0.59213,1.72643,0.0017624,0.0017624,0.0017624
26,86.6401,0.59008,0.50234,1.82077,0.97792,0.93713,0.98013,0.82474,0.66116,0.59213,1.72643,0.0017525,0.0017525,0.0017525
27,89.8636,0.5813,0.45564,1.79843,0.9753,0.88623,0.9613,0.82128,0.61222,0.58999,1.60734,0.0017426,0.0017426,0.0017426
28,93.0889,0.60278,0.47702,1.79919,0.98322,0.84731,0.93643,0.813,0.62276,0.61623,1.62515,0.0017327,0.0017327,0.0017327
29,96.3675,0.58343,0.4903,1.66904,0.98322,0.84731,0.93643,0.813,0.62276,0.61623,1.62515,0.0017228,0.0017228,0.0017228
30,99.6384,0.62846,0.48731,1.65966,0.85279,0.5988,0.72181,0.58784,0.95373,1.29855,2.05042,0.0017129,0.0017129,0.0017129
31,102.906,0.63415,0.45758,1.63803,0.81395,0.48465,0.63643,0.51542,0.95595,1.48983,2.10982,0.001703,0.001703,0.001703
32,106.153,0.56849,0.43278,1.63008,0.81395,0.48465,0.63643,0.51542,0.95595,1.48983,2.10982,0.0016931,0.0016931,0.0016931
33,109.384,0.57176,0.44992,1.65186,0.81732,0.7006,0.78466,0.66726,0.76365,1.06575,1.79561,0.0016832,0.0016832,0.0016832
34,112.608,0.54537,0.44781,1.582,0.81732,0.7006,0.78466,0.66726,0.76365,1.06575,1.79561,0.0016733,0.0016733,0.0016733
35,115.829,0.55771,0.44121,1.57076,0.92711,0.88623,0.93882,0.79786,0.62094,0.67371,1.62462,0.0016634,0.0016634,0.0016634
36,119.056,0.56114,0.43778,1.63898,0.97543,0.95105,0.98307,0.86501,0.52037,0.48903,1.5297,0.0016535,0.0016535,0.0016535
37,122.268,0.53919,0.39896,1.73541,0.97543,0.95105,0.98307,0.86501,0.52037,0.48903,1.5297,0.0016436,0.0016436,0.0016436
38,125.497,0.55391,0.38867,1.60744,0.98465,0.9521,0.98919,0.84632,0.61396,0.46546,1.48388,0.0016337,0.0016337,0.0016337
39,128.727,0.57333,0.41105,1.61808,1,0.9966,0.995,0.90093,0.48655,0.3621,1.47425,0.0016238,0.0016238,0.0016238
40,132.314,0.49386,0.37353,1.61662,1,0.9966,0.995,0.90093,0.48655,0.3621,1.47425,0.0016139,0.0016139,0.0016139
41,135.866,0.51396,0.37675,1.61691,0.99927,0.99701,0.995,0.8886,0.51853,0.36731,1.58387,0.001604,0.001604,0.001604
42,139.076,0.52817,0.39723,1.62098,0.99927,0.99701,0.995,0.8886,0.51853,0.36731,1.58387,0.0015941,0.0015941,0.0015941
43,142.297,0.54886,0.40687,1.53644,0.99805,0.99701,0.995,0.89647,0.54041,0.38708,1.58831,0.0015842,0.0015842,0.0015842
44,145.533,0.55063,0.40563,1.57619,0.99759,0.99701,0.995,0.90889,0.48826,0.35515,1.58414,0.0015743,0.0015743,0.0015743
45,149.12,0.50239,0.36901,1.55256,0.99759,0.99701,0.995,0.90889,0.48826,0.35515,1.58414,0.0015644,0.0015644,0.0015644
46,152.71,0.50027,0.37334,1.74254,0.99839,0.99701,0.995,0.90141,0.51364,0.36449,1.89987,0.0015545,0.0015545,0.0015545
47,155.944,0.48626,0.36876,1.69697,1,0.99598,0.995,0.90724,0.48117,0.35869,1.54928,0.0015446,0.0015446,0.0015446
48,159.177,0.47033,0.36153,1.65781,1,0.99598,0.995,0.90724,0.48117,0.35869,1.54928,0.0015347,0.0015347,0.0015347
49,162.358,0.51614,0.38185,1.76544,0.99937,0.98802,0.99474,0.8912,0.5295,0.37184,1.72965,0.0015248,0.0015248,0.0015248
50,165.54,0.54106,0.38503,1.62686,0.99937,0.98802,0.99474,0.8912,0.5295,0.37184,1.72965,0.0015149,0.0015149,0.0015149
51,168.747,0.49742,0.36524,1.57409,0.99691,0.96617,0.98787,0.89779,0.5177,0.43621,1.58784,0.001505,0.001505,0.001505
52,171.972,0.48886,0.34411,1.66863,1,0.98062,0.99443,0.89867,0.53597,0.38406,1.58852,0.0014951,0.0014951,0.0014951
53,175.183,0.52107,0.35805,1.70283,1,0.98062,0.99443,0.89867,0.53597,0.38406,1.58852,0.0014852,0.0014852,0.0014852
54,178.405,0.51662,0.34544,1.63921,0.99101,0.99067,0.99488,0.90161,0.48997,0.35281,1.5,0.0014753,0.0014753,0.0014753
55,181.641,0.50124,0.34409,1.6137,0.99927,0.98503,0.99494,0.90093,0.48834,0.35373,1.4766,0.0014654,0.0014654,0.0014654
56,184.845,0.52418,0.36404,1.52455,0.99927,0.98503,0.99494,0.90093,0.48834,0.35373,1.4766,0.0014555,0.0014555,0.0014555
57,188.042,0.53591,0.3715,1.53126,0.99357,0.98503,0.99479,0.90805,0.46898,0.34897,1.47504,0.0014456,0.0014456,0.0014456
58,191.341,0.47549,0.35885,1.53973,0.99357,0.98503,0.99479,0.90805,0.46898,0.34897,1.47504,0.0014357,0.0014357,0.0014357
59,194.669,0.46917,0.34317,1.51119,0.99697,0.98442,0.99479,0.90065,0.47913,0.35018,1.61667,0.0014258,0.0014258,0.0014258
60,197.899,0.46222,0.34664,1.52322,0.9927,0.99102,0.99491,0.88664,0.47252,0.35958,1.50273,0.0014159,0.0014159,0.0014159
61,201.089,0.44102,0.34011,1.60323,0.9927,0.99102,0.99491,0.88664,0.47252,0.35958,1.50273,0.001406,0.001406,0.001406
62,204.313,0.45742,0.32693,1.49735,0.99594,0.99701,0.99497,0.90059,0.46494,0.31633,1.53924,0.0013961,0.0013961,0.0013961
63,207.544,0.45693,0.31758,1.4173,1,0.99668,0.995,0.90789,0.4664,0.32143,1.53143,0.0013862,0.0013862,0.0013862
64,210.757,0.47806,0.33499,1.57221,1,0.99668,0.995,0.90789,0.4664,0.32143,1.53143,0.0013763,0.0013763,0.0013763
65,213.962,0.46801,0.32644,1.4844,0.99966,0.99701,0.995,0.90795,0.4559,0.32208,1.52742,0.0013664,0.0013664,0.0013664
66,217.156,0.45602,0.33213,1.4849,0.99966,0.99701,0.995,0.90795,0.4559,0.32208,1.52742,0.0013565,0.0013565,0.0013565
67,220.384,0.43961,0.31535,1.54842,0.99843,0.99701,0.995,0.91563,0.44936,0.30323,1.47816,0.0013466,0.0013466,0.0013466
68,223.989,0.45104,0.31237,1.55227,0.99851,0.99701,0.995,0.89945,0.48777,0.31641,1.51821,0.0013367,0.0013367,0.0013367
69,227.216,0.47176,0.30915,1.52794,0.99851,0.99701,0.995,0.89945,0.48777,0.31641,1.51821,0.0013268,0.0013268,0.0013268
70,230.444,0.44585,0.31094,1.53715,0.99938,0.99701,0.995,0.90443,0.45019,0.31652,1.52763,0.0013169,0.0013169,0.0013169
71,233.664,0.42952,0.30424,1.47627,0.99894,0.99701,0.995,0.90374,0.45005,0.29708,1.65786,0.001307,0.001307,0.001307
72,236.886,0.43693,0.30968,1.60344,0.99894,0.99701,0.995,0.90374,0.45005,0.29708,1.65786,0.0012971,0.0012971,0.0012971
73,240.093,0.43398,0.30653,1.54599,0.99622,0.99701,0.99362,0.90479,0.45164,0.30271,1.52833,0.0012872,0.0012872,0.0012872
74,243.285,0.44797,0.32046,1.5683,0.99622,0.99701,0.99362,0.90479,0.45164,0.30271,1.52833,0.0012773,0.0012773,0.0012773
75,246.501,0.46286,0.3135,1.52369,0.99925,0.99701,0.995,0.89778,0.5172,0.31523,1.80595,0.0012674,0.0012674,0.0012674
76,249.718,0.48111,0.31235,1.5712,1,0.99947,0.995,0.89873,0.51042,0.31401,1.64125,0.0012575,0.0012575,0.0012575
77,252.928,0.45482,0.30608,1.57434,1,0.99947,0.995,0.89873,0.51042,0.31401,1.64125,0.0012476,0.0012476,0.0012476
78,256.141,0.43818,0.30086,1.50636,1,0.99953,0.995,0.91288,0.44072,0.28686,1.59518,0.0012377,0.0012377,0.0012377
79,259.39,0.41996,0.29591,1.53625,1,0.9996,0.995,0.91302,0.4356,0.28799,1.66999,0.0012278,0.0012278,0.0012278
80,262.579,0.4082,0.28738,1.62004,1,0.9996,0.995,0.91302,0.4356,0.28799,1.66999,0.0012179,0.0012179,0.0012179
81,265.796,0.40717,0.28844,1.42782,0.99306,0.99701,0.99476,0.92056,0.43927,0.30179,1.54644,0.001208,0.001208,0.001208
82,269.393,0.42533,0.29918,1.4893,0.99306,0.99701,0.99476,0.92056,0.43927,0.30179,1.54644,0.0011981,0.0011981,0.0011981
83,272.992,0.45054,0.30922,1.46244,0.997,0.99629,0.99494,0.91639,0.45148,0.2978,1.49487,0.0011882,0.0011882,0.0011882
84,276.224,0.43632,0.29075,1.39241,0.99665,0.99701,0.995,0.92066,0.44235,0.29369,1.4723,0.0011783,0.0011783,0.0011783
85,279.814,0.4276,0.3044,1.41068,0.99665,0.99701,0.995,0.92066,0.44235,0.29369,1.4723,0.0011684,0.0011684,0.0011684
86,283.458,0.42214,0.29663,1.40444,1,0.98739,0.99491,0.91871,0.43551,0.29973,1.50747,0.0011585,0.0011585,0.0011585
87,286.689,0.39692,0.2855,1.41378,0.99699,0.99016,0.99497,0.9155,0.44342,0.29928,1.52969,0.0011486,0.0011486,0.0011486
88,289.887,0.3994,0.27684,1.45436,0.99699,0.99016,0.99497,0.9155,0.44342,0.29928,1.52969,0.0011387,0.0011387,0.0011387
89,293.105,0.40693,0.28253,1.47505,0.99457,0.98503,0.99456,0.91482,0.43389,0.30342,1.55189,0.0011288,0.0011288,0.0011288
90,296.305,0.40663,0.28707,1.43288,0.99457,0.98503,0.99456,0.91482,0.43389,0.30342,1.55189,0.0011189,0.0011189,0.0011189
91,299.521,0.40687,0.28368,1.46845,0.99525,0.98503,0.99456,0.9151,0.43523,0.29804,1.60798,0.001109,0.001109,0.001109
92,302.745,0.40409,0.28035,1.45059,0.99292,0.98503,0.99448,0.90715,0.44898,0.31302,1.52395,0.0010991,0.0010991,0.0010991
93,305.965,0.40601,0.27876,1.46675,0.99292,0.98503,0.99448,0.90715,0.44898,0.31302,1.52395,0.0010892,0.0010892,0.0010892
94,309.182,0.40213,0.28046,1.44397,0.98952,0.98802,0.9947,0.91124,0.43639,0.30128,1.5066,0.0010793,0.0010793,0.0010793
95,312.419,0.40107,0.27495,1.44764,0.98784,0.99102,0.99424,0.91233,0.41735,0.29524,1.50333,0.0010694,0.0010694,0.0010694
96,315.626,0.40379,0.2759,1.47476,0.98784,0.99102,0.99424,0.91233,0.41735,0.29524,1.50333,0.0010595,0.0010595,0.0010595
97,318.813,0.3995,0.27732,1.38516,0.98516,0.99346,0.99396,0.90664,0.42143,0.29785,1.56427,0.0010496,0.0010496,0.0010496
98,322.022,0.37926,0.26683,1.45386,0.98516,0.99346,0.99396,0.90664,0.42143,0.29785,1.56427,0.0010397,0.0010397,0.0010397
99,325.242,0.39911,0.27533,1.45381,0.98918,0.98802,0.99404,0.91209,0.41961,0.29427,1.57862,0.0010298,0.0010298,0.0010298
100,328.487,0.38182,0.26308,1.38473,0.98126,0.98204,0.99365,0.91457,0.41592,0.2999,1.53719,0.0010199,0.0010199,0.0010199
101,331.782,0.41476,0.27516,1.36989,0.98126,0.98204,0.99365,0.91457,0.41592,0.2999,1.53719,0.00101,0.00101,0.00101
