epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.59556,2.09497,3.63551,2.51239,0.02217,0.3982,0.02021,0.00625,1.49673,3.33939,2.40914,8e-05,8e-05,8e-05
2,3.3599,2.06197,3.63241,2.53654,0.04067,0.73054,0.22499,0.08184,1.24105,2.9437,2.2076,0.000179109,0.000179109,0.000179109
3,5.71001,1.1733,2.69364,1.8019,0.73161,0.65269,0.7749,0.48321,1.04884,1.6918,1.64323,0.000277228,0.000277228,0.000277228
4,8.20698,0.85404,1.62076,1.54452,0.88498,0.92149,0.93992,0.64108,0.88356,1.06162,1.61699,0.000374357,0.000374357,0.000374357
5,10.4597,0.77986,1.17215,1.43064,0.92012,0.93713,0.96365,0.70852,0.88508,0.89726,1.62002,0.000470496,0.000470496,0.000470496
6,12.5795,0.71916,1.02362,1.45788,0.97876,0.98503,0.9934,0.79654,0.72514,0.79355,1.71695,0.000565645,0.000565645,0.000565645
7,14.5126,0.67331,0.89279,1.39503,0.99429,0.99102,0.99476,0.80952,0.7001,0.71793,1.55221,0.000659804,0.000659804,0.000659804
8,16.36,0.68256,0.8656,1.37655,0.98606,0.99701,0.99466,0.81755,0.66805,0.70574,1.59083,0.000752973,0.000752973,0.000752973
9,18.1418,0.66834,0.79395,1.37163,0.98548,1,0.99467,0.81752,0.65392,0.63846,1.62228,0.000845152,0.000845152,0.000845152
10,19.5965,0.62347,0.76679,1.35792,0.98405,0.99401,0.99451,0.83199,0.63698,0.67695,1.54951,0.000936341,0.000936341,0.000936341
11,21.146,0.5875,0.71415,1.3689,0.98803,0.98891,0.99485,0.84111,0.5816,0.6043,1.71492,0.00102654,0.00102654,0.00102654
12,22.691,0.61432,0.70806,1.36337,0.99698,0.98764,0.99497,0.83691,0.65777,0.606,1.50652,0.00111575,0.00111575,0.00111575
13,24.0934,0.61192,0.65611,1.28898,0.99447,0.99701,0.99497,0.82248,0.70266,0.60401,1.48373,0.00120397,0.00120397,0.00120397
14,25.4841,0.64831,0.65906,1.45684,0.99447,0.99701,0.99497,0.82248,0.70266,0.60401,1.48373,0.0012912,0.0012912,0.0012912
15,26.8388,0.586,0.62872,1.32703,0.99369,1,0.99491,0.84673,0.58548,0.58956,1.55445,0.00137744,0.00137744,0.00137744
16,28.4487,0.61919,0.60684,1.35165,0.98972,0.99701,0.99442,0.85365,0.58337,0.59599,1.93078,0.00146269,0.00146269,0.00146269
17,29.9596,0.63498,0.60156,1.27789,0.99241,0.99401,0.99497,0.85484,0.5728,0.59328,2.03042,0.00154694,0.00154694,0.00154694
18,31.4508,0.59642,0.60647,1.29961,0.99241,0.99401,0.99497,0.85484,0.5728,0.59328,2.03042,0.00163021,0.00163021,0.00163021
19,32.9636,0.60961,0.5531,1.37235,0.99401,0.99391,0.99494,0.87015,0.54534,0.63069,2.39104,0.00171249,0.00171249,0.00171249
20,34.4777,0.61019,0.55677,1.4443,0.98894,0.99701,0.99476,0.8621,0.59529,0.71343,1.81157,0.00179378,0.00179378,0.00179378
21,35.817,0.58752,0.54572,1.32861,0.98894,0.99701,0.99476,0.8621,0.59529,0.71343,1.81157,0.001802,0.001802,0.001802
22,37.1541,0.59659,0.56215,1.36294,0.98754,0.99401,0.99454,0.85975,0.55161,0.56983,1.62727,0.0017921,0.0017921,0.0017921
23,38.501,0.59252,0.55573,1.29795,0.98803,0.98862,0.99426,0.87414,0.54385,0.50052,2.31649,0.0017822,0.0017822,0.0017822
24,39.9778,0.5629,0.53523,1.39158,0.98803,0.98862,0.99426,0.87414,0.54385,0.50052,2.31649,0.0017723,0.0017723,0.0017723
25,41.4766,0.56224,0.53355,1.38294,0.99167,0.98503,0.99449,0.86411,0.59896,0.52814,1.56178,0.0017624,0.0017624,0.0017624
26,42.8093,0.54777,0.51778,1.30298,0.99167,0.98503,0.99449,0.86411,0.59896,0.52814,1.56178,0.0017525,0.0017525,0.0017525
27,44.1624,0.52088,0.49191,1.3184,0.99479,0.99401,0.99494,0.88364,0.53934,0.47314,1.55141,0.0017426,0.0017426,0.0017426
28,45.6156,0.52342,0.48354,1.36409,0.99641,0.99701,0.995,0.87097,0.54112,0.43321,1.61056,0.0017327,0.0017327,0.0017327
29,46.9468,0.513,0.47106,1.32275,0.99641,0.99701,0.995,0.87097,0.54112,0.43321,1.61056,0.0017228,0.0017228,0.0017228
30,48.2695,0.54104,0.4818,1.30081,0.99953,0.99701,0.995,0.88777,0.50648,0.40053,1.53479,0.0017129,0.0017129,0.0017129
31,49.7232,0.56552,0.46276,1.25221,0.99885,1,0.995,0.88368,0.5152,0.40154,1.74379,0.001703,0.001703,0.001703
32,51.0399,0.52037,0.44564,1.214,0.99885,1,0.995,0.88368,0.5152,0.40154,1.74379,0.0016931,0.0016931,0.0016931
33,52.3496,0.50654,0.43975,1.26637,0.99463,0.99701,0.995,0.89917,0.46915,0.3936,1.67781,0.0016832,0.0016832,0.0016832
34,53.8118,0.51417,0.43117,1.20931,0.99463,0.99701,0.995,0.89917,0.46915,0.3936,1.67781,0.0016733,0.0016733,0.0016733
35,55.2856,0.48558,0.42705,1.19473,0.99403,0.99637,0.99491,0.88842,0.48933,0.38676,1.85465,0.0016634,0.0016634,0.0016634
36,56.6004,0.48551,0.42547,1.26706,0.99512,0.99701,0.99494,0.88592,0.51261,0.38603,1.71288,0.0016535,0.0016535,0.0016535
37,57.9126,0.51765,0.43158,1.29742,0.99512,0.99701,0.99494,0.88592,0.51261,0.38603,1.71288,0.0016436,0.0016436,0.0016436
